_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.200	m

Inner radius:
r_1 =	0.050	m

Fluid heat transfer coefficient of layer 1:
h_1 =	1000.000	W/m2.K
Outer radius of layer 1:
r_2 =	0.050	m

Layer 1 resistance to heat transfer:
R_2 =	0.127	K/W

Thermal conductivity of layer 2:
k_2 =	400.000	W/m.K
Outer radius of layer 2:
r_3 =	0.060	m

Layer 2 resistance to heat transfer:
R_3 =	0.000	K/W

Thermal conductivity of layer 3:
k_3 =	0.200	W/m.K
Outer radius of layer 3:
r_4 =	0.090	m

Layer 3 resistance to heat transfer:
R_4 =	0.269	K/W

Fluid heat transfer coefficient of layer 4:
h_4 =	0.500	W/m2.K
Outer radius of layer 4:
r_5 =	0.090	m

Layer 4 resistance to heat transfer:
R_5 =	78.595	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	1.013	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		76.18474	109.71105
		76.30522	109.70998
		76.42570	109.70892
		76.54618	109.70787
		76.66667	109.70681
		76.78715	109.70576
		76.90763	109.70470
		77.02811	109.70365
		77.14859	109.70260
		77.26908	109.70155
		77.38956	109.70051
		77.51004	109.69946
		77.63052	109.69842
		77.75100	109.69738
		77.87149	109.69634
		77.99197	109.69530
		78.11245	109.69426
		78.23293	109.69323
		78.35341	109.69219
		78.47390	109.69116
		78.59438	109.69013
		78.71486	109.68910
		78.83534	109.68808
		78.95582	109.68705
		79.07631	109.68603
		79.19679	109.68500
		79.31727	109.68398
		79.43775	109.68296
		79.55823	109.68195
		79.67871	109.68093
		79.79920	109.67991
		79.91968	109.67890
		80.04016	109.67789
		80.16064	109.67688
		80.28112	109.67587
		80.40161	109.67486
		80.52209	109.67386
		80.64257	109.67285
		80.76305	109.67185
		80.88353	109.67085
		81.00402	109.66985
		81.12450	109.66885
		81.24498	109.66786
		81.36546	109.66686
		81.48594	109.66587
		81.60643	109.66487
		81.72691	109.66388
		81.84739	109.66289
		81.96787	109.66191
		82.08835	109.66092
		82.20884	109.65993
		82.32932	109.65895
		82.44980	109.65797
		82.57028	109.65699
		82.69076	109.65601
		82.81124	109.65503
		82.93173	109.65405
		83.05221	109.65308
		83.17269	109.65211
		83.29317	109.65113
		83.41365	109.65016
		83.53414	109.64919
		83.65462	109.64823
		83.77510	109.64726
		83.89558	109.64629
		84.01606	109.64533
		84.13655	109.64437
		84.25703	109.64341
		84.37751	109.64245
		84.49799	109.64149
		84.61847	109.64053
		84.73896	109.63958
		84.85944	109.63862
		84.97992	109.63767
		85.10040	109.63672
		85.22088	109.63577
		85.34137	109.63482
		85.46185	109.63387
		85.58233	109.63293
		85.70281	109.63198
		85.82329	109.63104
		85.94378	109.63009
		86.06426	109.62915
		86.18474	109.62821
		86.30522	109.62728
		86.42570	109.62634
		86.54618	109.62540
		86.66667	109.62447
		86.78715	109.62354
		86.90763	109.62260
		87.02811	109.62167
		87.14859	109.62074
		87.26908	109.61982
		87.38956	109.61889
		87.51004	109.61797
		87.63052	109.61704
		87.75100	109.61612
		87.87149	109.61520
		87.99197	109.61428
		88.11245	109.61336
		88.23293	109.61244
		88.35341	109.61152
		88.47390	109.61061
		88.59438	109.60969
		88.71486	109.60878
		88.83534	109.60787
		88.95582	109.60696
		89.07631	109.60605
		89.19679	109.60514
		89.31727	109.60424
		89.43775	109.60333
		89.55823	109.60243
		89.67871	109.60152
		89.79920	109.60062
		89.91968	109.59972
		90.04016	109.59882
		90.16064	109.59792
0.000	0.500	90.00000	29.99925
