_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	75.000	W/m.K
Outer radius of layer 2:
r_3 =	0.090	m

Layer 2 resistance to heat transfer:
R_3 =	0.001	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.150	m

Layer 3 resistance to heat transfer:
R_4 =	0.163	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	489.195	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		79.56000	109.67159
		79.68000	109.67003
		79.80000	109.66847
		79.92000	109.66691
		80.04000	109.66535
		80.16000	109.66379
		80.28000	109.66224
		80.40000	109.66069
		80.52000	109.65914
		80.64000	109.65760
		80.76000	109.65605
		80.88000	109.65451
		81.00000	109.65297
		81.12000	109.65144
		81.24000	109.64990
		81.36000	109.64837
		81.48000	109.64684
		81.60000	109.64531
		81.72000	109.64379
		81.84000	109.64226
		81.96000	109.64074
		82.08000	109.63922
		82.20000	109.63771
		82.32000	109.63619
		82.44000	109.63468
		82.56000	109.63317
		82.68000	109.63166
		82.80000	109.63016
		82.92000	109.62865
		83.04000	109.62715
		83.16000	109.62565
		83.28000	109.62415
		83.40000	109.62266
		83.52000	109.62117
		83.64000	109.61968
		83.76000	109.61819
		83.88000	109.61670
		84.00000	109.61522
		84.12000	109.61374
		84.24000	109.61226
		84.36000	109.61078
		84.48000	109.60930
		84.60000	109.60783
		84.72000	109.60636
		84.84000	109.60489
		84.96000	109.60342
		85.08000	109.60196
		85.20000	109.60049
		85.32000	109.59903
		85.44000	109.59757
		85.56000	109.59612
		85.68000	109.59466
		85.80000	109.59321
		85.92000	109.59176
		86.04000	109.59031
		86.16000	109.58886
		86.28000	109.58742
		86.40000	109.58597
		86.52000	109.58453
		86.64000	109.58309
		86.76000	109.58166
		86.88000	109.58022
		87.00000	109.57879
		87.12000	109.57736
		87.24000	109.57593
		87.36000	109.57450
		87.48000	109.57308
		87.60000	109.57166
		87.72000	109.57023
		87.84000	109.56882
		87.96000	109.56740
		88.08000	109.56598
		88.20000	109.56457
		88.32000	109.56316
		88.44000	109.56175
		88.56000	109.56034
		88.68000	109.55894
		88.80000	109.55753
		88.92000	109.55613
		89.04000	109.55473
		89.16000	109.55333
		89.28000	109.55193
		89.40000	109.55054
		89.52000	109.54915
		89.64000	109.54776
		89.76000	109.54637
		89.88000	109.54498
		90.00000	109.54360
0.500		90.24000	109.12891
		90.48000	108.71532
		90.72000	108.30283
